2026-04-16 06:51:46,195 INFO    MainThread:2282656 [wandb_setup.py:_flush():68] Current SDK version is 0.19.6
2026-04-16 06:51:46,196 INFO    MainThread:2282656 [wandb_setup.py:_flush():68] Configure stats pid to 2282656
2026-04-16 06:51:46,196 INFO    MainThread:2282656 [wandb_setup.py:_flush():68] Loading settings from /home/yoonju/.config/wandb/settings
2026-04-16 06:51:46,196 INFO    MainThread:2282656 [wandb_setup.py:_flush():68] Loading settings from /mnt/yoonju/NRL/S2R/wandb/settings
2026-04-16 06:51:46,196 INFO    MainThread:2282656 [wandb_setup.py:_flush():68] Loading settings from environment variables
2026-04-16 06:51:46,196 INFO    MainThread:2282656 [wandb_init.py:setup_run_log_directory():637] Logging user logs to /mnt/yoonju/NRL/S2R/wandb/run-20260416_065146-pcwgrva6/logs/debug.log
2026-04-16 06:51:46,196 INFO    MainThread:2282656 [wandb_init.py:setup_run_log_directory():638] Logging internal logs to /mnt/yoonju/NRL/S2R/wandb/run-20260416_065146-pcwgrva6/logs/debug-internal.log
2026-04-16 06:51:46,196 INFO    MainThread:2282656 [wandb_init.py:init():756] calling init triggers
2026-04-16 06:51:46,196 INFO    MainThread:2282656 [wandb_init.py:init():761] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-04-16 06:51:46,196 INFO    MainThread:2282656 [wandb_init.py:init():789] starting backend
2026-04-16 06:51:46,414 INFO    MainThread:2282656 [wandb_init.py:init():793] sending inform_init request
2026-04-16 06:51:46,418 INFO    MainThread:2282656 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2026-04-16 06:51:46,419 INFO    MainThread:2282656 [wandb_init.py:init():808] backend started and connected
2026-04-16 06:51:46,421 INFO    MainThread:2282656 [wandb_init.py:init():901] updated telemetry
2026-04-16 06:51:46,429 INFO    MainThread:2282656 [wandb_init.py:init():936] communicating run to backend with 90.0 second timeout
2026-04-16 06:51:48,798 INFO    MainThread:2282656 [wandb_init.py:init():994] starting run threads in backend
2026-04-16 06:51:48,938 INFO    MainThread:2282656 [wandb_run.py:_console_start():2385] atexit reg
2026-04-16 06:51:48,938 INFO    MainThread:2282656 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2026-04-16 06:51:48,938 INFO    MainThread:2282656 [wandb_run.py:_redirect():2300] Wrapping output streams.
2026-04-16 06:51:48,938 INFO    MainThread:2282656 [wandb_run.py:_redirect():2325] Redirects installed.
2026-04-16 06:51:48,941 INFO    MainThread:2282656 [wandb_init.py:init():1036] run started, returning control to user process
